id	name	description	category	level
Climate change and high temperatures in Geneva	Climate change	Climate change and high temperatures in Geneva	Climate change	0
Warming and global climate change	Global climate change	Warming and global climate change	Global climate change	1
Worldwide local emissions of certain pollutants that contribute to global warming and climate change	Worldwide local emissions	Worldwide local emissions of certain pollutants that contribute to global warming and climate change	Worldwide local emissions	2
Lack of binding regulations (local and global) for industries and individuals	Lack of binding regulations	Lack of binding regulations (local and global) for industries and individuals	Lack of binding regulations	3
The economic interest is considered more important than the consequences of air pollution on human health or the environment.	Economic interest	The economic interest is considered more important than the consequences of air pollution on human health or the environment.	Economic interest	4
Underestimating or mis-prioritizing critical issues and interests	Mis-prioritizing	Underestimating or mis-prioritizing critical issues and interests	Mis-prioritizing	5
A mindset that tends to favour short-term local interests over long-term global benefits	Short-term local interests	A mindset that tends to favour short-term local interests over long-term global benefits	Short-term local interests	6
Perceived inevitability of air pollution contributing to global warming and climate change	Perceived inevitability	Perceived inevitability of air pollution contributing to global warming and climate change	Perceived inevitability	4
Underestimation of the collective capacity to solve very complex problems	Underestimation	Underestimation of the collective capacity to solve very complex problems	Underestimation	5
An information and learning system based on individual results rather than collective effort	Individual results	An information and learning system based on individual results rather than collective effort	Individual results	6
A habit of trying to mitigate and circumvent critical problems rather than solve them	Mitigate critical problems	A habit of trying to mitigate and circumvent critical problems rather than solve them	Mitigate critical problems	5
Air pollution generated by air traffic in Geneva	Air traffic	Air pollution generated by air traffic in Geneva	Air traffic	0
Presence of a high-traffic international airport	International airport	Presence of a high-traffic international airport	International airport	1
Possibility to travel (business) very easily, affordably and without constraint	Travel (business) very easily	Possibility to travel (business) very easily, affordably and without constraint	Travel (business) very easily	2
Teleworking is not widespread enough	Teleworking not widespread	Teleworking is not widespread enough	Teleworking not widespread	3
Lack of awareness of the positive impacts of telework	Lack of awareness	Lack of awareness of the positive impacts of telework	Lack of awareness	4
Lack of regulation to encourage teleworking	Lack of regulation	Lack of regulation to encourage teleworking	Lack of regulation	5
Tools and connections not always efficient enough	Tools not always efficient	Tools and connections not always efficient enough	Tools not always efficient	4
Technological limitations	Technological limitations	Technological limitations	Technological limitations	5
Poor technological choices of companies/institutions	Poor technological choices	Poor technological choices of companies/institutions	Poor technological choices	5
Possibility to travel (leisure) very easily, affordably and without constraints	Travel (leisure) very easily	Possibility to travel (leisure) very easily, affordably and without constraints	Travel (leisure) very easily	2
The means of air transport used are very polluting	Air transport very polluting	The means of air transport used are very polluting	Air transport very polluting	1
Lack of development of non-polluting means of air transport	Lack of development	Lack of development of non-polluting means of air transport	Lack of development	2
The necessary technology has not yet been sufficiently developed.	Technology not sufficiently developed	The necessary technology has not yet been sufficiently developed.	Technology not sufficiently developed	3
There is a lack of resources and stronger incentives for research and development in this area.	Lack of research and development	There is a lack of resources and stronger incentives for research and development in this area.	Lack of research and development	4
There is a lack of significant resources and stronger incentives for the installation of fast and efficient non-polluting alternative means of transport wherever possible (short and medium distances).	Lack of incentives	There is a lack of significant resources and stronger incentives for the installation of fast and efficient non-polluting alternative means of transport wherever possible (short and medium distances).	Lack of incentives	3
Lack of capacity to make large investments on a very long-term or loss-making basis	Lack of large investments	Lack of capacity to make large investments on a very long-term or loss-making basis	Lack of large investments	4
Macroeconomic consequences of this type of investment considered harmful	Macroeconomic consequences	Macroeconomic consequences of this type of investment considered harmful	Macroeconomic consequences	5
Polluting local traffic in Geneva	Local traffic	Polluting local traffic in Geneva	Local traffic	0
Polluting commuter traffic	Commuter traffic	Polluting commuter traffic	Commuter traffic	1
Workplace distance from home	Workplace distance	Workplace distance from home	Workplace distance	2
Cost of housing too high near business areas	Cost of housing	Cost of housing too high near business areas	Cost of housing	3
Lack of availability of housing close to business areas	Availability of housing	Lack of availability of housing close to business areas	Availability of housing	3
Public transport not efficient enough for the neighbouring areas	Public transport not efficient enough	Public transport not efficient enough for the neighbouring areas	Public transport not efficient enough	2
Lack of investment in public transport for border areas	Lack of investment	Lack of investment in public transport for border areas	Lack of investment	3
Underused public transport	Underused public transport	Underused public transport	Underused public transport	2
